SNO,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Multi-trip Algorithm Execution Time,Multi-trip Algorithm Maximum Trip Time,Mean Simulated Annealing Maximum Trip Time,STDEV Simulated Annealing Maximum Trip Time,Best Simulated Annealing Maximum Trip Time,Mean Execution Time Simulated Annealing-500,STDEV Execution Time Simulated Annealing-500,Best Execution Time Simulated Annealing-500
63,bccm.63,41,69,35,28,7,7,2.94,177,177,0,177,32.6045,1.977305477,28.269
64,bccm.64,41,69,35,28,7,7,3.919,169,168.5,2.179449472,159,28.4824,1.04845989,26.29
65,bccm.65,41,69,35,28,7,7,3.801,169,168.05,2.854382595,159,28.838,1.387783881,26.431
66,bccm.66,41,69,35,28,7,7,3.349,184,177.65,4.809105946,167,30.14485,1.628131084,27.966
67,bccm.67,41,69,35,28,7,7,3.252,184,176.75,5.087976022,167,30.44015,1.596963627,27.668
68,bccm.68,41,69,35,28,7,7,3.254,184,174.45,15.57393656,110,30.06685,1.820642394,26.67
69,bccm.69,41,69,35,28,7,7,3.274,184,175.3,5.797413216,163,30.40405,1.599829881,27.193
70,bccm.70,41,69,35,28,7,7,3.249,184,170.1,19.69238431,112,29.3924,1.566782991,26.19
71,bccm.71,41,69,35,28,7,7,2.996,110,110,0,110,33.381,1.811255476,30.337
72,bccm.72,41,69,35,28,7,7,2.998,110,110,0,110,32.96635,2.158879206,29.966
73,bccm.73,50,92,46,14,10,10,5.012,124,123.85,0.357071421,123,41.53275,2.292164171,38.585
74,bccm.74,50,92,46,14,10,10,5.015,124,123.9,0.3,123,42.1245,2.258390699,38.397
75,bccm.75,50,92,46,14,10,10,5.007,124,123.85,0.357071421,123,42.01185,1.966000719,37.482
76,bccm.76,50,92,46,14,10,10,5.018,124,123.95,0.217944947,123,41.84725,1.691602343,39.196
77,bccm.77,50,92,46,14,10,10,5.03,124,124,0,124,43.57585,1.792605681,40.66
78,bccm.78,50,92,46,14,10,10,4.784,92,92,0,92,41.2162,2.61796042,37.001
79,bccm.79,50,92,46,14,10,10,4.942,86,86,0,86,42.8513,1.872437585,38.584
80,bccm.80,50,92,46,14,10,10,4.882,86,86,0,86,44.4269,2.37771125,38.203
81,bccm.81,50,92,46,14,10,10,4.879,86,86,0,86,43.4807,1.763846,38.749
82,bccm.82,50,92,46,14,10,10,4.914,86,86,0,86,43.3588,2.111356995,38.51
83,bccm.83,50,92,46,14,10,10,4.941,86,86,0,86,43.74995,3.000727703,37.477
84,bccm.84,50,92,46,14,10,10,4.545,93,93,0,93,41.7764,2.995100689,36.547
85,bccm.85,50,92,46,14,10,10,4.585,93,93,0,93,42.1935,2.25076828,38.291
