,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Multi-trip Algorithm Execution Time,Multi-trip Algorithm Maximum Trip Time,Mean Simulated Annealing Maximum Trip Time,STDEV Simulated Annealing Maximum Trip Time,Best Simulated Annealing Maximum Trip Time,Mean Execution Time Simulated Annealing-500,STDEV Execution Time Simulated Annealing-500,Best Execution Time Simulated Annealing-500
0,"Montana, US4",75,130,39,31,19,16,11.586,29.1,28.2,1.1,25.0,47.0,2.6,43.8
1,"Ohio, US2",192,353,112,31,56,39,118.605,30.6,32.5,1.6,30.6,211.7,6.5,200.9
2,"Pennsylvania, US3",374,622,81,31,40,75,17.003,343.0,268.9,30.0,249.3,695.1,40.5,653.3
3,"Georgia, US5",133,214,28,31,14,27,2.4,366.1,213.3,25.9,165.9,94.0,5.0,86.6
4,"Georgia, US7",290,423,26,31,13,59,6.265,1013.6,323.0,52.6,225.2,459.4,23.6,431.9
5,"Minnesota, US0",222,344,115,31,57,45,915.308,27.9,19.1,0.7,18.3,202.3,9.5,183.3
6,"Michigan, US1",288,494,163,31,81,58,1043.313,130.3,125.1,2.2,123.1,561.3,33.4,511.6
7,"Atlanta, Georgia, US6",461,879,286,31,143,93,1192.296,123.4,114.4,27.1,33.3,1136.7,65.3,1029.2
