,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Multi-trip Algorithm Execution Time,Multi-trip Algorithm Maximum Trip Time,Mean Simulated Annealing Maximum Trip Time,STDEV Simulated Annealing Maximum Trip Time,Best Simulated Annealing Maximum Trip Time,Mean Execution Time Simulated Annealing-500,STDEV Execution Time Simulated Annealing-500,Best Execution Time Simulated Annealing-500
0,"Montana, US4",75,130,39,31,19,16,11.447,29.1,28.6,0.0,28.6,46.1,3.1,39.3
1,"Ohio, US2",192,353,112,31,56,39,117.016,30.6,33.7,1.6,30.6,209.8,11.5,193.7
2,"Pennsylvania, US3",374,622,81,31,40,75,16.942,343.0,261.6,15.1,250.9,682.1,23.4,649.2
3,"Georgia, US5",133,214,28,31,14,27,2.375,366.1,217.8,23.6,170.4,92.7,8.9,80.5
4,"Georgia, US7",290,423,26,31,13,59,6.272,1013.6,301.5,34.7,246.8,442.7,26.6,395.6
5,"Minnesota, US0",222,344,115,31,57,45,901.983,27.9,18.8,1.0,17.0,200.4,9.2,190.1
6,"Michigan, US1",288,494,163,31,81,58,1027.377,130.3,125.7,2.6,124.1,543.3,51.1,479.3
7,"Atlanta, Georgia, US6",461,879,286,31,143,93,1186.247,123.4,68.7,44.7,30.7,1088.7,49.3,1057.9
