,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Multi-trip Algorithm Execution Time,Multi-trip Algorithm Maximum Trip Time,Mean Simulated Annealing Maximum Trip Time,STDEV Simulated Annealing Maximum Trip Time,Best Simulated Annealing Maximum Trip Time,Mean Execution Time Simulated Annealing-500,STDEV Execution Time Simulated Annealing-500,Best Execution Time Simulated Annealing-500
0,"Montana, US4",75,130,39,31,19,16,1.462,722.3723459621096,30.0,0.0,30.0,56.5,0.0,56.5
1,"Ohio, US2",192,353,112,31,56,39,18.502,805.8959399157857,256.3,0.0,256.3,339.1,0.0,339.1
2,"Pennsylvania, US3",374,622,81,31,40,75,43.596,1157.8504357802235,550.5,0.0,550.5,1137.1,0.0,1137.1
3,"Georgia, US5",133,214,28,31,14,27,1.643,1090.7026852570823,248.2,0.0,248.2,109.1,0.0,109.1
4,"Georgia, US7",290,423,26,31,13,59,6.682,1241.840377091302,321.7,0.0,321.7,501.8,0.0,501.8
5,"Minnesota, US0",222,344,115,31,57,45,8.918,358.5097196765948,27.2,0.0,27.2,171.0,0.0,171.0
6,"Michigan, US1",288,494,163,31,81,58,54.643,793.2253080664357,229.3,0.0,229.3,846.8,0.0,846.8
