,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Multi-trip Algorithm Execution Time,Multi-trip Algorithm Maximum Trip Time,Mean Simulated Annealing Maximum Trip Time,STDEV Simulated Annealing Maximum Trip Time,Best Simulated Annealing Maximum Trip Time,Mean Execution Time Simulated Annealing-500,STDEV Execution Time Simulated Annealing-500,Best Execution Time Simulated Annealing-500
0,"Montana, US4",75,130,39,31,19,16,11.416,29.1,29.1,0,29.1,46.1,2.5,41.6
1,"Georgia, US5",133,214,28,31,14,27,2.423,366.1,228.6,28.1,203.5,97.1,4.4,91.3
2,"Minnesota, US0",222,344,115,31,57,45,912.459,27.9,15.8,1.5,14,199.8,12.1,180.6
3,"Ohio, US2",192,353,112,31,56,39,117.344,30.6,37.3,0,37.3,190.1,7.6,175
4,"Georgia, US7",290,423,26,31,13,59,6.291,1013.6,552.3,171.5,272.5,385.9,40.1,322
5,"Michigan, US1",288,494,163,31,81,58,1033.43,130.3,106.2,6,103.1,513,45.7,395.1
6,"Pennsylvania, US3",374,622,81,31,40,75,16.879,343,224.5,24.5,200.2,737.4,17,702
7,"Atlanta, Georgia, US6",461,879,286,31,143,93,1182.971,123.4,95.8,22.2,33.3,987.3,41.3,916.1
