,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Multi-trip Algorithm Execution Time,Multi-trip Algorithm Maximum Trip Time,Mean Simulated Annealing Maximum Trip Time,STDEV Simulated Annealing Maximum Trip Time,Best Simulated Annealing Maximum Trip Time,Mean Execution Time Simulated Annealing-500,STDEV Execution Time Simulated Annealing-500,Best Execution Time Simulated Annealing-500
0,"Montana, US4",75,130,39,31,19,16,23.58,25.2,25.8,1.1,25.2,44.9,2.1,41.5
1,"Ohio, US2",192,353,112,31,56,39,244.658,139.2,144.6,5.8,139.2,249.4,12.4,233.6
,,,,,,,,,,,,,,,
3,"Georgia, US5",133,214,28,31,14,27,4.966,562.6,251.4,26.6,224.9,112.6,6.3,100
4,"Georgia, US7",290,423,26,31,13,59,7.662,1012,335.7,42.2,264.3,461.9,42.1,403.6
5,"Minnesota, US0",222,344,115,31,57,45,1610.475,29.9,23.3,1.3,20.4,391.7,30.2,346.7
6,"Michigan, US1",288,494,163,31,81,58,2179.451,30.5,30.5,0,30.5,570.5,24.9,529.8
7,"Atlanta, Georgia, US6",461,879,286,31,143,93,2107.7,122.2,113.8,25.7,36.8,1176.1,109,1000
